key,indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
57,130735,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,103,Fordham - Bronx Pk,2005,3.2
58,130736,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,104,Pelham - Throgs Neck,2005,3.2
59,130737,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,105,Crotona -Tremont,2005,3.4
60,130738,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,106,High Bridge - Morrisania,2005,3.6
61,130739,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,107,Hunts Point - Mott Haven,2005,3.5
62,130740,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,201,Greenpoint,2005,3.5
63,130741,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,202,Downtown - Heights - Slope,2005,3.2
64,130742,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,3
65,130743,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,204,East New York,2005,2.8
66,130744,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,205,Sunset Park,2005,3.2
67,130745,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,206,Borough Park,2005,2.9
68,130746,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,207,East Flatbush - Flatbush,2005,2.8
69,130747,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,208,Canarsie - Flatlands,2005,2.8
70,130748,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,209,Bensonhurst - Bay Ridge,2005,2.7
71,130749,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,210,Coney Island - Sheepshead Bay,2005,2.5
72,130750,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,211,Williamsburg - Bushwick,2005,3.1
73,130751,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,301,Washington Heights,2005,3.9
74,130752,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,302,Central Harlem - Morningside Heights,2005,4.2
75,130753,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,303,East Harlem,2005,4.2
76,130754,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,304,Upper West Side,2005,4
77,130755,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,305,Upper East Side,2005,4.5
78,130756,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,306,Chelsea - Clinton,2005,4.6
79,130757,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,307,Gramercy Park - Murray Hill,2005,5.3
80,130758,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,308,Greenwich Village - SoHo,2005,4
81,130759,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,309,Union Square - Lower East Side,2005,4
82,130760,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,310,Lower Manhattan,2005,4.2
83,130761,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,401,Long Island City - Astoria,2005,3.6
84,130762,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,402,West Queens,2005,3.4
85,130763,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,403,Flushing - Clearview,2005,2.7
86,130764,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,404,Bayside - Little Neck,2005,2.5
87,130765,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,405,Ridgewood - Forest Hills,2005,3
88,130766,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,406,Fresh Meadows,2005,2.3
89,130767,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,407,Southwest Queens,2005,2.4
90,130768,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,408,Jamaica,2005,2.4
91,130769,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,409,Southeast Queens,2005,2.4
92,130770,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,410,Rockaways,2005,2
93,130771,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,501,Port Richmond,2005,2.4
94,130772,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,502,Stapleton - St. George,2005,2.3
95,130773,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,503,Willowbrook,2005,2.3
96,130774,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,504,South Beach - Tottenville,2005,2.2
97,130536,642,Boiler Emissions- Total NOx Emissions,Per km2,Borough,1,Bronx,2013,42.7
98,130537,642,Boiler Emissions- Total NOx Emissions,Per km2,Borough,2,Brooklyn,2013,22.8
99,130538,642,Boiler Emissions- Total NOx Emissions,Per km2,Borough,3,Manhattan,2013,161.1
100,130539,642,Boiler Emissions- Total NOx Emissions,Per km2,Borough,4,Queens,2013,16.1
101,130540,642,Boiler Emissions- Total NOx Emissions,Per km2,Borough,5,Staten Island,2013,2.7
102,130535,642,Boiler Emissions- Total NOx Emissions,Per km2,Citywide,1,New York City,2013,29.4
103,130493,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,101,Kingsbridge - Riverdale,2013,42.5
104,130494,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,102,Northeast Bronx,2013,33.8
105,130495,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,103,Fordham - Bronx Pk,2013,71
106,130496,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,104,Pelham - Throgs Neck,2013,24.9
107,130497,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,105,Crotona -Tremont,2013,62.5
108,130498,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,106,High Bridge - Morrisania,2013,78
109,130499,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,107,Hunts Point - Mott Haven,2013,36.8
110,130500,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,201,Greenpoint,2013,18.9
111,130501,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,202,Downtown - Heights - Slope,2013,32
112,130502,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,31.7
113,130503,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,204,East New York,2013,14.7
114,130504,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,205,Sunset Park,2013,13.4
115,130505,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,206,Borough Park,2013,34.8
116,130506,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,207,East Flatbush - Flatbush,2013,33.5
117,130507,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,208,Canarsie - Flatlands,2013,6.7
118,130508,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,209,Bensonhurst - Bay Ridge,2013,26.5
119,130509,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,210,Coney Island - Sheepshead Bay,2013,23.7
120,130510,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,211,Williamsburg - Bushwick,2013,27.8
121,130511,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,301,Washington Heights,2013,115.3
122,130512,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,302,Central Harlem - Morningside Heights,2013,82.1
123,130513,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,303,East Harlem,2013,55.8
124,130514,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,304,Upper West Side,2013,247.9
125,130515,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,305,Upper East Side,2013,269.8
126,130516,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,306,Chelsea - Clinton,2013,204.8
127,130517,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,307,Gramercy Park - Murray Hill,2013,284.7
128,130518,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,308,Greenwich Village - SoHo,2013,132.5
129,130519,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,309,Union Square - Lower East Side,2013,126.1
130,130520,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,310,Lower Manhattan,2013,118.7
131,130521,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,401,Long Island City - Astoria,2013,30.6
132,130522,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,402,West Queens,2013,24.6
133,130523,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,403,Flushing - Clearview,2013,18.7
134,130524,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,404,Bayside - Little Neck,2013,10.4
135,130525,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,405,Ridgewood - Forest Hills,2013,23.6
136,130526,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,406,Fresh Meadows,2013,15.3
137,130527,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,407,Southwest Queens,2013,14.5
138,130528,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,408,Jamaica,2013,13.2
139,130529,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,409,Southeast Queens,2013,8.1
140,130530,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,410,Rockaways,2013,6.1
141,130531,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,501,Port Richmond,2013,2.8
142,130532,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,502,Stapleton - St. George,2013,4.7
143,130533,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,503,Willowbrook,2013,2.1
144,130534,642,Boiler Emissions- Total NOx Emissions,Per km2,UHF42,504,South Beach - Tottenville,2013,2
145,130488,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Borough,1,Bronx,2013,1.2
146,130489,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Borough,2,Brooklyn,2013,0.1
147,130490,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Borough,3,Manhattan,2013,5.9
148,130491,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Borough,4,Queens,2013,0.3
149,130492,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Borough,5,Staten Island,2013,0
150,130487,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,Citywide,1,New York City,2013,0.7
151,130445,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,101,Kingsbridge - Riverdale,2013,2
152,130446,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,102,Northeast Bronx,2013,0.3
153,130447,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,103,Fordham - Bronx Pk,2013,3
154,130448,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,104,Pelham - Throgs Neck,2013,0.5
155,130449,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,105,Crotona -Tremont,2013,2
156,130450,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,106,High Bridge - Morrisania,2013,2.4
157,130451,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,107,Hunts Point - Mott Haven,2013,0.4
158,130452,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,201,Greenpoint,2013,0.1
159,130453,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,202,Downtown - Heights - Slope,2013,0.1
160,130454,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,0.1
161,130455,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,204,East New York,2013,0
162,130456,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,205,Sunset Park,2013,0
163,130457,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,206,Borough Park,2013,0.2
164,130458,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,207,East Flatbush - Flatbush,2013,0.3
165,130459,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,208,Canarsie - Flatlands,2013,0
166,130460,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,209,Bensonhurst - Bay Ridge,2013,0.2
167,130461,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,210,Coney Island - Sheepshead Bay,2013,0.1
168,130462,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,211,Williamsburg - Bushwick,2013,0.1
169,130463,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,301,Washington Heights,2013,5.8
170,130464,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,302,Central Harlem - Morningside Heights,2013,2
171,130465,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,303,East Harlem,2013,1.3
172,130466,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,304,Upper West Side,2013,11.4
173,130467,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,305,Upper East Side,2013,10.8
174,130468,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,306,Chelsea - Clinton,2013,7.7
175,130469,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,307,Gramercy Park - Murray Hill,2013,9
176,130470,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,308,Greenwich Village - SoHo,2013,4.1
177,130471,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,309,Union Square - Lower East Side,2013,3
178,130472,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,310,Lower Manhattan,2013,1.7
179,130473,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,401,Long Island City - Astoria,2013,0.8
180,130474,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,402,West Queens,2013,0.3
181,130475,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,403,Flushing - Clearview,2013,0.6
182,130476,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,404,Bayside - Little Neck,2013,0.2
183,130477,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,405,Ridgewood - Forest Hills,2013,0.3
184,130478,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,406,Fresh Meadows,2013,0.5
185,130479,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,407,Southwest Queens,2013,0.1
186,130480,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,408,Jamaica,2013,0.1
187,130481,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,409,Southeast Queens,2013,0
188,130482,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,410,Rockaways,2013,0
189,130483,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,501,Port Richmond,2013,0
190,130484,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,502,Stapleton - St. George,2013,0
191,130485,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,503,Willowbrook,2013,0
192,130486,641,Boiler Emissions- Total PM2.5 Emissions,Per km2,UHF42,504,South Beach - Tottenville,2013,0
193,130440,640,Boiler Emissions- Total SO2 Emissions,Per km2,Borough,1,Bronx,2013,10.3
194,130441,640,Boiler Emissions- Total SO2 Emissions,Per km2,Borough,2,Brooklyn,2013,0.8
195,130442,640,Boiler Emissions- Total SO2 Emissions,Per km2,Borough,3,Manhattan,2013,50.6
196,130443,640,Boiler Emissions- Total SO2 Emissions,Per km2,Borough,4,Queens,2013,2.2
197,130444,640,Boiler Emissions- Total SO2 Emissions,Per km2,Borough,5,Staten Island,2013,0.1
198,130439,640,Boiler Emissions- Total SO2 Emissions,Per km2,Citywide,1,New York City,2013,6.1
199,130397,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,101,Kingsbridge - Riverdale,2013,17.6
200,130398,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,102,Northeast Bronx,2013,2.2
201,130399,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,103,Fordham - Bronx Pk,2013,24.5
202,130400,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,104,Pelham - Throgs Neck,2013,4.4
203,130401,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,105,Crotona -Tremont,2013,16.9
204,130402,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,106,High Bridge - Morrisania,2013,19.7
205,130403,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,107,Hunts Point - Mott Haven,2013,3.3
206,130404,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,201,Greenpoint,2013,0.4
207,130405,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,202,Downtown - Heights - Slope,2013,0.8
208,130406,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,0.9
209,130407,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,204,East New York,2013,0.1
210,130408,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,205,Sunset Park,2013,0.1
211,130409,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,206,Borough Park,2013,1.5
212,130410,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,207,East Flatbush - Flatbush,2013,2.3
213,130411,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,208,Canarsie - Flatlands,2013,0
214,130412,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,209,Bensonhurst - Bay Ridge,2013,1.7
215,130413,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,210,Coney Island - Sheepshead Bay,2013,0.9
216,130414,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,211,Williamsburg - Bushwick,2013,0.3
217,130415,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,301,Washington Heights,2013,51
218,130416,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,302,Central Harlem - Morningside Heights,2013,15.7
219,130417,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,303,East Harlem,2013,11.6
220,130418,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,304,Upper West Side,2013,99.7
221,130419,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,305,Upper East Side,2013,95
222,130420,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,306,Chelsea - Clinton,2013,67.4
223,130421,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,307,Gramercy Park - Murray Hill,2013,78.8
224,130422,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,308,Greenwich Village - SoHo,2013,32.9
225,130423,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,309,Union Square - Lower East Side,2013,24.9
226,130424,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,310,Lower Manhattan,2013,13.7
227,130425,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,401,Long Island City - Astoria,2013,6.7
228,130426,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,402,West Queens,2013,2.3
229,130427,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,403,Flushing - Clearview,2013,5.1
230,130428,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,404,Bayside - Little Neck,2013,1.6
231,130429,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,405,Ridgewood - Forest Hills,2013,2.7
232,130430,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,406,Fresh Meadows,2013,4.3
233,130431,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,407,Southwest Queens,2013,0.8
234,130432,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,408,Jamaica,2013,0.5
235,130433,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,409,Southeast Queens,2013,0.3
236,130434,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,410,Rockaways,2013,0
237,130435,640,Boiler Emissions- Total SO2 Emissions,Per km2,UHF42,501,Port Richmond,2013,0
